Ground,Matches,Inns,Not Out,Runs,HS,Ave,100,50,Ct,St
"Sharjah Cricket Association Stadium, Sharjah",51,51,3,2179,131  ,45.39,7,11,14,
"Armour Heights, Toronto",18,17,1,619,83  ,38.68,0,5,3,
"Gaddafi Stadium, Lahore",14,13,3,572,108*,57.2,2,3,4,
"National Stadium, Karachi",10,9,0,298,71  ,33.11,0,2,0,
"Gymkhana Club Ground, Nairobi",10,10,1,412,115  ,45.77,3,0,1,
"Bangabandhu National Stadium, Dhaka",9,9,1,535,140  ,66.87,1,4,5,
"R Premadasa Stadium, Colombo",8,8,1,291,90  ,41.57,0,3,0,
"Sinhalese Sports Club Ground, Colombo",7,7,1,146,46  ,24.33,0,0,1,
"Melbourne Cricket Ground, Melbourne",6,6,0,72,49  ,12,0,0,0,
"Jinnah Stadium, Gujranwala",5,5,2,145,42*,48.33,0,0,0,
"Brisbane Cricket Ground, Woolloongabba, Brisbane",5,5,0,101,37  ,20.2,0,0,2,
"Sydney Cricket Ground, Sydney",5,5,0,114,43  ,22.8,0,0,1,
"Western Australia Cricket Association Ground, Perth",4,4,0,95,44  ,23.75,0,0,1,
"Newlands, Cape Town",4,4,0,69,30  ,17.25,0,0,0,
"Kingsmead, Durban",4,4,0,15,10  ,3.75,0,0,0,
"Eden Park, Auckland",4,4,0,82,48  ,20.5,0,0,0,
"Rawalpindi Cricket Stadium, Rawalpindi",4,4,1,264,104*,88,1,1,1,
"The Padang, Singapore",4,4,0,126,74  ,31.5,0,1,1,
"Adelaide Oval, Adelaide",3,3,0,140,126  ,46.66,1,0,0,
"Buffalo Park, East London",3,3,1,70,41  ,35,0,0,0,
"Centurion Park, Centurion",3,3,0,161,101  ,53.66,1,1,0,
"Harare Sports Club, Harare",3,3,1,128,103*,64,1,0,0,
"Old Trafford, Manchester",3,3,1,206,113*,103,1,1,0,
"Trent Bridge, Nottingham",3,3,0,118,61  ,39.33,0,1,1,
"Punjab Cricket Association Stadium, Mohali",3,3,0,31,17  ,10.33,0,0,0,
"National Cricket Stadium, Tangier",3,3,0,96,70  ,32,0,1,0,
"Bellerive Oval, Hobart",2,2,0,60,43  ,30,0,0,0,
"Jinnah Stadium, Sialkot",2,2,0,126,91  ,63,0,1,0,
"Ibn-e-Qasim Bagh Stadium, Multan",2,2,0,53,31  ,26.5,0,0,1,
"Lancaster Park, Christchurch",2,2,0,4,2  ,2,0,0,0,
"Carisbrook, Dunedin",2,2,1,72,60*,72,0,1,0,
"New Wanderers Stadium, Johannesburg",2,2,0,29,26  ,14.5,0,0,0,
"M Chinnaswamy Stadium, Bangalore",2,2,0,61,48  ,30.5,0,0,0,
"Edgbaston, Birmingham",2,2,0,110,77  ,55,0,1,1,
"De Beers Diamond Oval, Kimberley",2,2,0,40,23  ,20,0,0,0,
"Boland Park, Paarl",2,2,0,78,53  ,39,0,1,0,
"Lord's Cricket Ground, St John's Wood",2,2,0,42,27  ,21,0,0,0,
"Headingley, Leeds",2,2,0,49,25  ,24.5,0,0,1,
"Kallang Ground, Singapore",2,2,0,46,24  ,23,0,0,0,
"Arbab Niaz Stadium, Peshawar",1,1,0,67,67  ,67,0,1,1,
"Basin Reserve, Wellington",1,1,0,16,16  ,16,0,0,0,
"St George's Park, Port Elizabeth",1,1,0,17,17  ,17,0,0,1,
"Iqbal Stadium, Faisalabad",1,1,0,14,14  ,14,0,0,0,
"MA Chidambaram Stadium, Chepauk, Chennai",1,1,0,194,194  ,194,1,0,0,
"Aga Khan Sports Club Ground, Nairobi",1,1,0,27,27  ,27,0,0,0,
"Captain Roop Singh Stadium, Gwalior",1,1,0,36,36  ,36,0,0,0,
"Bugti Stadium, Quetta",1,1,0,26,26  ,26,0,0,0,
"Eden Gardens, Kolkata",1,1,0,6,6  ,6,0,0,0,
"Willowmoore Park Main Oval, Benoni",1,1,0,59,59  ,59,0,1,0,
"Niaz Stadium, Hyderabad",1,1,0,30,30  ,30,0,0,0,
"Sawai Mansingh Stadium, Jaipur",1,1,0,95,95  ,95,0,1,0,
"Keenan Stadium, Jamshedpur",1,1,0,72,72  ,72,0,1,0,
"Sheikhupura Stadium, Sheikhupura",1,1,0,2,2  ,2,0,0,1,
"Riverside Ground, Chester-le-Street",1,1,0,6,6  ,6,0,0,0,
"County Ground, Derby",1,1,0,28,28  ,28,0,0,0,
"County Ground, Northampton",1,1,0,9,9  ,9,0,0,0,
"Kennington Oval, Kennington",1,1,0,103,103  ,103,1,0,0,
"County Ground, Bristol",1,1,0,10,10  ,10,0,0,1,
"Galle International Stadium, Galle",1,1,0,20,20  ,20,0,0,0,
"McLean Park, Napier",1,1,0,0,0  ,0,0,0,0,
"Westpac Stadium, Wellington",1,1,0,57,57  ,57,0,1,0,
"Sophia Gardens, Cardiff",1,1,0,35,35  ,35,0,0,0,
"Docklands Stadium, Melbourne",1,1,0,0,0  ,0,0,0,0,
"Queens Sports Club, Bulawayo",1,1,1,40,40*,,0,0,0,
